description,filename,id,species,source,species_code,cleaned_filename,contigs_greater_0_bp,contigs_greater_1000_bp,contigs_greater_5000_bp,contigs_greater_10000_bp,contigs_greater_25000_bp,contigs_greater_50000_bp,total_length_greater_0_bp,total_length_greater_1000_bp,total_length_greater_5000_bp,total_length_greater_10000_bp,total_length_greater_25000_bp,total_length_greater_50000_bp,total_contigs,largest_contig,total_length,N50,N75,L50,L75,number_Ns_per_100_kbp
"Pseudomonas aeruginosa strain MED06 O70H2_S168_R1__paired__contig_1, whole genome shotgun sequence",GCF_005863585.1_ASM586358v1_genomic.fna,NZ_VAVC01000001.1,aeruginosa,REFSEQ,1,1_VAVC01000001,190,132,100,85,71,48,7263170,7240126,7169826,7071016,6847867,5967228,144,519469,7248825,122774,69103,20,40,112.57
"Pseudomonas aeruginosa strain AZPAE14711 AZPAE14711_contig_1, whole genome shotgun sequence",GCF_000797345.1_AZPAE14711_genomic.fna,NZ_JTWV01000001.1,aeruginosa,REFSEQ,1,1_JTWV01000001,177,144,105,92,72,48,7121620,7095977,6992492,6907967,6555657,5643138,177,469523,7121620,99618,55368,20,43,13.69
"Pseudomonas sp. 286 isolate p2.C6, whole genome shotgun sequence",GCF_900589305.1_p2.C6_genomic.fna,NZ_UUIK01000067.1,sp.,REFSEQ,4,4_UUIK01000067,67,32,30,29,27,24,6303271,6291285,6286214,6280820,6238012,6121575,36,762854,6293824,373750,319624,7,11,0.08
"Pseudomonas aeruginosa str. PA 17SCV strain PA 17(small_colony_variant) contig001, whole genome shotgun sequence",GCF_000412495.1_PA_17_SmallColonyVariant_genomic.fna,NZ_ASRA01000001.1,aeruginosa,REFSEQ,1,1_ASRA01000001,1853,707,375,198,35,4,6178008,5723962,4846272,3572930,1200986,251978,958,71174,5896221,12376,6484,143,302,0.07
"Pseudomonas koreensis strain 3286 Ga0365445_101, whole genome shotgun sequence",GCF_007829275.1_ASM782927v1_genomic.fna,NZ_VIWL01000011.1,koreensis,REFSEQ,21,21_VIWL01000011,20,20,17,16,16,15,6123676,6123676,6116567,6106895,6106895,6063580,20,795902,6123676,646903,455791,5,7,6.53
"Pseudomonas sp. H9 scaffold1, whole genome shotgun sequence",GCF_004353925.1_ASM435392v1_genomic.fna,NZ_SMOK01000001.1,sp.,REFSEQ,4,4_SMOK01000001,60,45,36,34,31,29,5878140,5868316,5854970,5838745,5802391,5740742,55,605530,5876002,246846,168361,9,16,0.0
"Pseudomonas aeruginosa strain env159b NODE_10_length_202128_cov_14.8114, whole genome shotgun sequence",GCF_002326685.1_ASM232668v1_genomic.fna,NZ_NRAH01000010.1,aeruginosa,REFSEQ,1,1_NRAH01000010,71,60,48,43,39,32,6374356,6366846,6341233,6311368,6248120,5971149,69,807454,6373652,210839,126585,9,19,0.0
"Pseudomonas aeruginosa strain 6088 IPC1335_1.1, whole genome shotgun sequence",GCF_004372045.1_ASM437204v1_genomic.fna,NZ_RWOA01000001.1,aeruginosa,REFSEQ,1,1_RWOA01000001,47,43,35,33,27,24,6645531,6642952,6624724,6610339,6510815,6373705,47,694204,6645531,418924,215664,6,13,5.03
"Pseudomonas sp. 286 isolate p24.A1, whole genome shotgun sequence",GCF_900586365.1_p24.A1_genomic.fna,NZ_UTXA01000080.1,sp.,REFSEQ,4,4_UTXA01000080,81,53,51,46,40,31,5988504,5979338,5976619,5936433,5831518,5461770,54,354795,5980028,231201,115289,10,20,0.05
"Pseudomonas sp. Y22 Scaffold1, whole genome shotgun sequence",GCF_008365385.1_ASM836538v1_genomic.fna,NZ_QOVF01000001.1,sp.,REFSEQ,4,4_QOVF01000001,16,16,14,13,12,11,4106373,4106373,4101255,4095966,4080086,4040998,16,1439279,4106373,930914,257683,2,4,0.0
"Pseudomonas aeruginosa strain PA17 contig000001, whole genome shotgun sequence",GCF_003332795.1_ASM333279v1_genomic.fna,NZ_QDGR01000001.1,aeruginosa,REFSEQ,1,1_QDGR01000001,58,51,42,39,37,32,6360407,6356919,6336092,6320291,6285462,6084342,54,892858,6359175,257960,119779,8,17,0.0
"Pseudomonas sp. R24(2017) R24_1, whole genome shotgun sequence",GCF_002113465.1_ASM211346v1_genomic.fna,NZ_NEIA01000001.1,sp.,REFSEQ,4,4_NEIA01000001,37,34,28,27,25,21,6310010,6308256,6297099,6291581,6254163,6115639,37,777947,6310010,390365,205140,6,11,11.3
"Pseudomonas syringae ICMP 13102 scaffold1, whole genome shotgun sequence",GCF_001466945.1_ASM146694v1_genomic.fna,NZ_LKEO01000001.1,syringae,REFSEQ,0,0_LKEO01000001,158,118,99,87,64,48,5954747,5937244,5892899,5803435,5405806,4887068,131,369106,5946121,86475,57119,19,40,4.47
"Pseudomonas aeruginosa strain MRSN6695 MRSN6695_contig00001, whole genome shotgun sequence",GCF_003968135.1_ASM396813v1_genomic.fna,NZ_RXTJ01000001.1,aeruginosa,REFSEQ,1,1_RXTJ01000001,55,47,36,32,29,24,6235816,6232722,6209133,6182293,6132521,5909435,49,672049,6233860,349927,172036,7,13,0.0
"Pseudomonas sp. 286 isolate p21.D2, whole genome shotgun sequence",GCF_900584665.1_p21.D2_genomic.fna,NZ_UTQO01000090.1,sp.,REFSEQ,4,4_UTQO01000090,94,64,58,54,46,30,5994769,5986944,5974526,5941876,5810684,5213727,66,429940,5988254,197319,107446,10,20,0.02
"Pseudomonas fluorescens strain 74954 NODE_100_length_369_cov_1.71233, whole genome shotgun sequence",GCF_003001635.1_ASM300163v1_genomic.fna,NZ_PVUJ01000097.1,fluorescens,REFSEQ,9,9_PVUJ01000097,240,77,56,53,44,40,6385912,6339202,6287543,6260736,6113918,5975854,85,534538,6344432,186624,104900,13,24,0.0
"Pseudomonas marginalis ICMP 9505 scaffold1, whole genome shotgun sequence",GCF_001467265.1_ASM146726v1_genomic.fna,NZ_LKGY01000001.1,marginalis,REFSEQ,109,109_LKGY01000001,144,116,95,87,63,42,5893550,5878753,5816100,5760929,5344016,4526973,132,392880,5889936,90711,52074,18,40,1.97
"Pseudomonas aeruginosa strain AMT0005-137 IPC542_1.1, whole genome shotgun sequence",GCF_003976295.1_ASM397629v1_genomic.fna,NZ_RXDO01000001.1,aeruginosa,REFSEQ,1,1_RXDO01000001,35,34,30,26,25,21,6453591,6452647,6439195,6414033,6393699,6220627,35,902550,6453591,454597,262336,5,10,3.16
"Pseudomonas aeruginosa strain PA-CL515 IPC609_1.1, whole genome shotgun sequence",GCF_004372805.1_ASM437280v1_genomic.fna,NZ_RWPY01000001.1,aeruginosa,REFSEQ,1,1_RWPY01000001,18,18,17,17,16,15,6791188,6791188,6787527,6787527,6770420,6738512,18,941291,6791188,600730,409286,5,8,0.87
"Pseudomonas sp. 286 isolate p21.E1, whole genome shotgun sequence",GCF_900584745.1_p21.E1_genomic.fna,NZ_UTQZ01000069.1,sp.,REFSEQ,4,4_UTQZ01000069,69,44,41,40,35,29,5968663,5960927,5953041,5946292,5882771,5683520,47,748379,5962574,328571,121650,7,15,0.02
"Pseudomonas aeruginosa strain 1590 1590_NODE_10_length_210600_cov_114.246, whole genome shotgun sequence",GCF_003863645.1_ASM386364v1_genomic.fna,NZ_RRBH01000010.1,aeruginosa,REFSEQ,1,1_RRBH01000010,96,71,61,50,47,35,6564723,6550794,6526923,6456245,6396355,5974429,86,500063,6561253,193228,129602,11,21,0.0
"Pseudomonas sp. Irchel s3a12 isolate Pseudomonas sp. Irchel s3a12, whole genome shotgun sequence",GCF_900187485.1_s3a12_genomic.fna,NZ_FYDN01000033.1,sp.,REFSEQ,4,4_FYDN01000033,34,34,31,29,25,25,6481431,6481431,6477624,6466733,6408668,6408668,34,796839,6481431,313310,256548,8,13,10.43
"Pseudomonas aeruginosa strain AZPAE14689 AZPAE14689_contig_1, whole genome shotgun sequence",GCF_000794545.1_AZPAE14689_genomic.fna,NZ_JTXP01000001.1,aeruginosa,REFSEQ,1,1_JTXP01000001,216,200,142,118,81,50,7252889,7241022,7102535,6943069,6291747,5135460,216,291387,7252889,78022,42244,27,57,39.36
"Pseudomonas aeruginosa strain IMP68 chromosome, complete genome",GCF_008033745.1_ASM803374v1_genomic.fna,NZ_CP028849.1,aeruginosa,REFSEQ,1,1_CP028849,1,1,1,1,1,1,6481697,6481697,6481697,6481697,6481697,6481697,1,6481697,6481697,6481697,6481697,1,1,0.0
"Pseudomonas aeruginosa isolate 246, whole genome shotgun sequence",GCF_900145815.1_246_genomic.fna,NZ_FRNH01000159.1,aeruginosa,REFSEQ,1,1_FRNH01000159,159,144,114,98,78,43,6420860,6412607,6336915,6224518,5888073,4592377,152,322368,6417846,82517,45724,23,48,0.0
"Pseudomonas aeruginosa isolate 222, whole genome shotgun sequence",GCF_900145645.1_222_genomic.fna,NZ_FRMO01000073.1,aeruginosa,REFSEQ,1,1_FRMO01000073,73,62,49,46,41,29,6502415,6494721,6468751,6446252,6370331,5911973,71,431719,6501498,251798,143374,10,19,0.0
"Pseudomonas lundensis strain AU1044 chromosome, complete genome",GCF_001020725.2_ASM102072v2_genomic.fna,NZ_CP017687.1,lundensis,REFSEQ,18,18_CP017687,1,1,1,1,1,1,4814265,4814265,4814265,4814265,4814265,4814265,1,4814265,4814265,4814265,4814265,1,1,0.0
"Pseudomonas koreensis strain BS3658 genome assembly, chromosome: I",GCF_900101415.1_IMG-taxon_2636416187_annotated_assembly_genomic.fna,NZ_LT629687.1,koreensis,REFSEQ,21,21_LT629687,1,1,1,1,1,1,6123913,6123913,6123913,6123913,6123913,6123913,1,6123913,6123913,6123913,6123913,1,1,1.63
"Pseudomonas sp. 37 R 15, whole genome shotgun sequence",GCF_900004865.1_PSEFL294_LIB5409_genomic.fna,NZ_CVTV01000061.1,sp.,REFSEQ,4,4_CVTV01000061,62,54,48,44,38,35,6315439,6312061,6297729,6273012,6149157,6008995,57,614214,6314244,253505,112765,9,20,44.25
"Pseudomonas sp. NFACC24-1, whole genome shotgun sequence",GCF_900115235.1_IMG-taxon_2599185319_annotated_assembly_genomic.fna,NZ_FOVS01000093.1,sp.,REFSEQ,4,4_FOVS01000093,95,95,72,66,54,39,6637840,6637840,6587544,6549006,6366780,5792151,95,464952,6637840,162821,79190,14,27,8.81
"Pseudomonas otitidis strain PAM-1 NODE_100_length_22341_cov_7.35734, whole genome shotgun sequence",GCF_003034155.1_ASM303415v1_genomic.fna,NZ_PXJI01000100.1,otitidis,REFSEQ,139,139_PXJI01000100,381,342,255,195,89,21,6124838,6103444,5860578,5413442,3715897,1451709,363,137235,6118446,29659,16716,65,132,0.0
"Pseudomonas aeruginosa strain Pae_CF67.05a CF67.05a_contig_1, whole genome shotgun sequence",GCF_001024715.1_ASM102471v1_genomic.fna,NZ_LDMJ01000001.1,aeruginosa,REFSEQ,1,1_LDMJ01000001,184,113,72,65,53,36,6396946,6368210,6268951,6228256,6012360,5372249,129,570152,6379833,138470,77128,13,27,17.57
"Pseudomonas aeruginosa strain PASGNDM699 chromosome, complete genome",GCF_002104595.1_ASM210459v1_genomic.fna,NZ_CP020704.1,aeruginosa,REFSEQ,1,1_CP020704,1,1,1,1,1,1,6985102,6985102,6985102,6985102,6985102,6985102,1,6985102,6985102,6985102,6985102,1,1,0.0
"Pseudomonas sp. Irchel s3a10 isolate Pseudomonas sp. Irchel s3a10, whole genome shotgun sequence",GCF_900187525.1_s3a10_genomic.fna,NZ_FYDR01000024.1,sp.,REFSEQ,4,4_FYDR01000024,24,24,21,21,18,16,6024408,6024408,6018705,6018705,5978044,5917628,24,1234257,6024408,644396,247417,4,7,3.04
"Pseudomonas sp. 286 isolate p25.H5, whole genome shotgun sequence",GCF_900588005.1_p25.H5_genomic.fna,NZ_UUDL01000024.1,sp.,REFSEQ,4,4_UUDL01000024,24,21,20,19,19,18,6072639,6071839,6069506,6064034,6064034,6021149,21,1269753,6071839,532682,258712,4,9,0.0
"Pseudomonas aeruginosa strain VET-77 PA2_D10_NODE_100_length_19328_cov_59.0825_ID_199, whole genome shotgun sequence",GCF_003631375.1_ASM363137v1_genomic.fna,NZ_RABD01000142.1,aeruginosa,REFSEQ,1,1_RABD01000142,412,412,260,171,75,29,6467478,6467478,6041942,5388009,3903100,2318021,412,154588,6467478,33574,14309,52,125,0.0
"Pseudomonas syringae pv. actinidiae strain C54 BV337_1, whole genome shotgun sequence",GCF_002175225.1_ASM217522v1_genomic.fna,NZ_MTIA01000001.1,syringae,REFSEQ,0,0_MTIA01000001,360,300,184,143,81,38,6226853,6183164,5905127,5604413,4531860,2973957,360,167843,6226853,47421,23082,41,87,0.24
"Pseudomonas alcaligenes strain MB-090714 NODE_10_length_137625_cov_35.650475, whole genome shotgun sequence",GCF_003205495.1_ASM320549v1_genomic.fna,NZ_QJRX01000010.1,alcaligenes,REFSEQ,115,115_QJRX01000010,16,16,15,14,14,11,4012525,4012525,4011172,4005444,4005444,3882278,16,582451,4012525,443490,311218,4,7,2.99
"Pseudomonas savastanoi pv. nerii strain ESC 23 pv_Nerii_ESC_23_R1.adapter__paired__contig_1, whole genome shotgun sequence",GCF_002270015.1_ASM227001v1_genomic.fna,NZ_NIAY01000001.1,savastanoi,REFSEQ,8,8_NIAY01000001,229,229,156,116,76,33,5836471,5836471,5658100,5352217,4699738,3103612,229,176637,5836471,54237,32109,30,65,63.5
"Pseudomonas aeruginosa strain IDEXX_Canine4 IPC723_1.1, whole genome shotgun sequence",GCF_003836765.1_ASM383676v1_genomic.fna,NZ_NSUF01000001.1,aeruginosa,REFSEQ,1,1_NSUF01000001,47,42,34,32,27,25,6752170,6748174,6730088,6718390,6641292,6587771,47,661620,6752170,401932,250092,7,13,1.45
"Pseudomonas aeruginosa strain 70 scaffold_0, whole genome shotgun sequence",GCF_004351415.1_ASM435141v1_genomic.fna,NZ_SCZE01000001.1,aeruginosa,REFSEQ,1,1_SCZE01000001,649,565,343,203,68,22,6834463,6775675,6197075,5188343,3037391,1530628,649,113251,6834463,21830,10639,85,197,35.94
"Pseudomonas chlororaphis subsp. aurantiaca strain JD37, complete genome",GCF_000761195.1_ASM76119v1_genomic.fna,NZ_CP009290.1,chlororaphis,REFSEQ,14,14_CP009290,1,1,1,1,1,1,6702062,6702062,6702062,6702062,6702062,6702062,1,6702062,6702062,6702062,6702062,1,1,0.0
"Pseudomonas sp. 286 isolate p13.D12, whole genome shotgun sequence",GCF_900582135.1_p13.D12_genomic.fna,NZ_UTGU01000124.1,sp.,REFSEQ,4,4_UTGU01000124,124,20,16,16,15,13,6160918,6126958,6119523,6119523,6099425,6018564,23,1426916,6128711,848013,523434,3,6,0.0
"Pseudomonas aeruginosa strain WH-SGI-V-07325 WH_SGI_V_07325_1, whole genome shotgun sequence",GCF_001454495.1_WH-SGI-V-07325_genomic.fna,NZ_LLVL01000001.1,aeruginosa,REFSEQ,1,1_LLVL01000001,149,93,68,56,47,38,7130660,7107793,7044343,6956046,6803259,6460326,102,815125,7113879,189476,104785,12,24,1.08
"Pseudomonas sp. 286 isolate p12.B7, whole genome shotgun sequence",GCF_900581235.1_p12.B7_genomic.fna,NZ_UTDJ01000214.1,sp.,REFSEQ,4,4_UTDJ01000214,214,22,13,13,12,12,6063907,5989740,5965886,5965886,5945014,5945014,50,1374265,6007428,855943,443989,3,5,0.0
"Pseudomonas sp. 286 isolate p4.G2, whole genome shotgun sequence",GCF_900591195.1_p4.G2_genomic.fna,NZ_UUPS01000066.1,sp.,REFSEQ,4,4_UUPS01000066,66,57,53,48,40,35,6138225,6135259,6123359,6087054,5944838,5755080,58,435068,6135993,188481,106913,10,20,0.07
"Pseudomonas aeruginosa strain AZPAE13866 AZPAE13866_contig_1, whole genome shotgun sequence",GCF_000795585.1_AZPAE13866_genomic.fna,NZ_JTZH01000001.1,aeruginosa,REFSEQ,1,1_JTZH01000001,146,134,76,67,54,36,7258328,7249446,7117609,7056450,6850558,6129277,146,432717,7258328,170886,91294,14,27,53.22
"Pseudomonas sp. DMKU_BBB3-04 NODE_10_length_217961_cov_49.5095, whole genome shotgun sequence",GCF_007109405.1_ASM710940v1_genomic.fna,NZ_VJOY01000010.1,sp.,REFSEQ,4,4_VJOY01000010,41,41,35,33,29,20,4680836,4680836,4662599,4648815,4581805,4259763,41,594779,4680836,301985,136488,6,12,0.0
"Pseudomonas sp. 286 isolate p24.A12, whole genome shotgun sequence",GCF_900586345.1_p24.A12_genomic.fna,NZ_UTXC01000055.1,sp.,REFSEQ,4,4_UTXC01000055,55,32,28,28,24,21,6061018,6052596,6045277,6045277,5973577,5850633,37,886857,6055979,320797,219399,5,11,0.02
"Pseudomonas sp. GW456-11-11-14-LB2 NODE_100_length_24371_cov_17.7127, whole genome shotgun sequence",GCF_002882415.1_GW456-11-11-14-LB2_genomic.fna,NZ_POFM01000100.1,sp.,REFSEQ,4,4_POFM01000100,317,186,164,138,98,50,7083712,7044816,6995601,6797045,6111048,4420170,192,165654,7049276,68001,35546,35,72,0.0
"Pseudomonas aeruginosa isolate 124.1, whole genome shotgun sequence",GCF_900147695.1_124_1_genomic.fna,NZ_FRUL01000162.1,aeruginosa,REFSEQ,1,1_FRUL01000162,163,140,107,92,68,45,6434172,6420531,6329927,6220692,5788106,4963500,153,294538,6429676,96116,52333,21,43,0.0
"Pseudomonas antarctica strain BS2772 genome assembly, chromosome: I",GCF_900103795.1_IMG-taxon_2636416078_annotated_assembly_genomic.fna,NZ_LT629704.1,antarctica,REFSEQ,95,95_LT629704,1,1,1,1,1,1,6377174,6377174,6377174,6377174,6377174,6377174,1,6377174,6377174,6377174,6377174,1,1,1.57
"Pseudomonas aeruginosa strain 5014375233 IPC1521_1.1, whole genome shotgun sequence",GCF_004370235.1_ASM437023v1_genomic.fna,NZ_RWLX01000001.1,aeruginosa,REFSEQ,1,1_RWLX01000001,42,35,31,28,25,20,7025510,7019959,7011079,6989003,6934296,6749481,42,1010635,7025510,505602,256189,5,11,4.23
"Pseudomonas aeruginosa strain 175S070312EX2DAY21_PA1 IPC41_1.1, whole genome shotgun sequence",GCF_004375325.1_ASM437532v1_genomic.fna,NZ_RWUV01000001.1,aeruginosa,REFSEQ,1,1_RWUV01000001,31,30,28,27,25,20,6298080,6297432,6291118,6285062,6248842,6049561,31,768848,6298080,419355,220089,6,11,1.62
"Pseudomonas aeruginosa strain 239A isolate 13121-1 IPC1269_1.1, whole genome shotgun sequence",GCF_003698565.1_ASM369856v1_genomic.fna,NZ_MCMD01000001.1,aeruginosa,REFSEQ,1,1_MCMD01000001,95,86,65,52,48,36,6981334,6974704,6913507,6819203,6753893,6338732,95,635945,6981334,227566,92959,10,23,8.77
"Pseudomonas aeruginosa strain env050 NODE_10_length_192160_cov_14.2762, whole genome shotgun sequence",GCF_002330835.1_ASM233083v1_genomic.fna,NZ_NRBI01000010.1,aeruginosa,REFSEQ,1,1_NRBI01000010,81,71,56,50,47,36,6970138,6964096,6934721,6892082,6840243,6431978,78,877557,6969222,196567,99746,9,21,0.0
"Pseudomonas putida F1, complete genome",GCF_000016865.1_ASM1686v1_genomic.fna,NC_009512.1,putida,REFSEQ,22,22_009512,1,1,1,1,1,1,5959964,5959964,5959964,5959964,5959964,5959964,1,5959964,5959964,5959964,5959964,1,1,0.0
"Pseudomonas orientalis strain L1-3-08 chromosome, complete genome",GCF_003851585.1_ASM385158v1_genomic.fna,NZ_CP027724.1,orientalis,REFSEQ,107,107_CP027724,1,1,1,1,1,1,5962679,5962679,5962679,5962679,5962679,5962679,1,5962679,5962679,5962679,5962679,1,1,0.0
"Pseudomonas aeruginosa C41 adgfh-supercont1.1, whole genome shotgun sequence",GCF_000480455.1_Pseu_aeru_3569_V1_genomic.fna,NZ_KI518709.1,aeruginosa,REFSEQ,1,1_KI518709,3,3,2,2,2,2,6825599,6825599,6824230,6824230,6824230,6824230,3,5741985,6825599,5741985,5741985,1,1,698.03
"Pseudomonas aeruginosa 62 adgfr-supercont1.1, whole genome shotgun sequence",GCF_000482025.1_Pseu_aeru_62_V1_genomic.fna,NZ_KI519315.1,aeruginosa,REFSEQ,1,1_KI519315,5,5,3,3,3,3,6545433,6545433,6539646,6539646,6539646,6539646,5,3715191,6545433,3715191,2038709,1,2,640.95
"Pseudomonas aeruginosa strain ENV-203 PA2_E1_NODE_100_length_21560_cov_12.4049_ID_199, whole genome shotgun sequence",GCF_003630665.1_ASM363066v1_genomic.fna,NZ_RACN01000177.1,aeruginosa,REFSEQ,1,1_RACN01000177,306,305,237,179,92,37,6854044,6853108,6655580,6229020,4899784,2932497,306,178635,6854044,42055,20392,48,103,0.0
"Pseudomonas sp. FSL W5-0299 NODE_100_length_1010_cov_1.34687_ID_8272, whole genome shotgun sequence",GCF_002005125.1_ASM200512v1_genomic.fna,NZ_MPIP01000100.1,sp.,REFSEQ,4,4_MPIP01000100,137,100,76,70,55,41,7139722,7122375,7070933,7027393,6809643,6295235,112,765793,7130553,156053,85268,12,27,0.0
"Pseudomonas aeruginosa strain 1042828174-20 IPC1502_1.1, whole genome shotgun sequence",GCF_004370505.1_ASM437050v1_genomic.fna,NZ_RWMQ01000001.1,aeruginosa,REFSEQ,1,1_RWMQ01000001,125,119,110,97,71,48,6246617,6241867,6224681,6118984,5661688,4809941,125,287918,6246617,81451,55330,23,46,1.33
"Pseudomonas sp. 286 isolate p12.C8, whole genome shotgun sequence",GCF_900581335.1_p12.C8_genomic.fna,NZ_UTDS01000080.1,sp.,REFSEQ,4,4_UTDS01000080,80,52,42,40,35,29,5987148,5979030,5953988,5937035,5855489,5619245,54,666782,5980499,231755,130673,8,17,0.05
"Pseudomonas aeruginosa strain AZPAE15066 AZPAE15066_contig_1, whole genome shotgun sequence",GCF_000793395.1_AZPAE15066_genomic.fna,NZ_JTMG01000001.1,aeruginosa,REFSEQ,1,1_JTMG01000001,134,121,84,74,65,46,6959180,6949190,6862324,6791392,6645543,5865185,134,673038,6959180,130696,65205,16,35,65.17
"Pseudomonas sp. Irchel s3f7 isolate Pseudomonas sp. Irchel s3f7, whole genome shotgun sequence",GCF_900187615.1_s3f7_genomic.fna,NZ_FYDO01000067.1,sp.,REFSEQ,4,4_FYDO01000067,68,68,59,50,47,39,6061563,6061563,6041504,5975004,5914766,5615118,68,343463,6061563,171686,106350,14,25,12.42
"Pseudomonas savastanoi pv. glycinea strain LN10 PgyLN10_Scaffold001, whole genome shotgun sequence",GCF_001293765.1_PgyLN10_genomic.fna,NZ_LGLM01000105.1,savastanoi,REFSEQ,8,8_LGLM01000105,128,103,72,55,43,37,6213496,6199703,6113136,5992942,5807854,5581820,119,330356,6210109,223848,93562,13,24,4149.78
"Pseudomonas deceptionensis strain LMG 25555, whole genome shotgun sequence",GCF_900106095.1_IMG-taxon_2636416038_annotated_assembly_genomic.fna,NZ_FNUD01000002.1,deceptionensis,REFSEQ,182,182_FNUD01000002,2,2,1,1,1,1,5096762,5096762,5095053,5095053,5095053,5095053,2,5095053,5096762,5095053,5095053,1,1,0.0
"Pseudomonas aeruginosa isolate 30, whole genome shotgun sequence",GCF_900143975.1_30_genomic.fna,NZ_FUEJ01000180.1,aeruginosa,REFSEQ,1,1_FUEJ01000180,181,169,129,108,81,42,6522815,6513970,6410223,6262778,5845361,4443949,179,394767,6521869,80596,41552,23,53,0.0
"Pseudomonas sp. 286 isolate p4.H11, whole genome shotgun sequence",GCF_900598815.1_p4.H11_genomic.fna,NZ_UVTA01000130.1,sp.,REFSEQ,4,4_UVTA01000130,130,99,91,81,61,36,5924711,5917275,5897295,5826420,5472986,4532787,101,282571,5918302,116538,54806,17,35,0.0
"Pseudomonas sp. NFACC11-2 Ga0058945_101, whole genome shotgun sequence",GCF_003001775.1_ASM300177v1_genomic.fna,NZ_PVZA01000001.1,sp.,REFSEQ,4,4_PVZA01000001,46,46,34,29,24,24,6724917,6724917,6703424,6674353,6590593,6590593,46,788401,6724917,471646,194480,6,12,0.0
"Pseudomonas sp. 286 isolate p12.E1, whole genome shotgun sequence",GCF_900581435.1_p12.E1_genomic.fna,NZ_UTEC01000341.1,sp.,REFSEQ,4,4_UTEC01000341,341,10,9,8,8,8,6185404,6075255,6073877,6068466,6068466,6068466,23,1827718,6082551,1437562,779693,2,4,0.0
"Pseudomonas aeruginosa strain ATCC 27853 MC15175001, whole genome shotgun sequence",GCF_001086625.1_ASM108662v1_genomic.fna,NZ_LFMN01000001.1,aeruginosa,REFSEQ,1,1_LFMN01000001,21,18,13,10,9,9,6847745,6845385,6833004,6813259,6799675,6799675,21,2108254,6847745,2097247,1212333,2,3,0.0
"Pseudomonas rhodesiae strain 88A6 88A6_Joined_contig_1, whole genome shotgun sequence",GCF_003732025.1_ASM373202v1_genomic.fna,NZ_MOBA01000016.1,rhodesiae,REFSEQ,128,128_MOBA01000016,18,16,15,15,14,14,5958491,5957392,5955107,5955107,5933653,5933653,18,1414067,5958491,762467,380204,3,6,26.79
"Pseudomonas savastanoi pv. phaseolicola 1644R Scaffold_1, whole genome shotgun sequence",GCF_000225805.1_ASM22580v1_genomic.fna,NZ_JH137509.1,savastanoi,REFSEQ,8,8_JH137509,970,723,356,199,32,1,5888679,5769435,4783982,3655733,1064999,66708,827,66708,5844204,13281,6745,136,289,314.84
"Pseudomonas sp. B16(2017) B16_1, whole genome shotgun sequence",GCF_002113205.1_ASM211320v1_genomic.fna,NZ_NEKA01000001.1,sp.,REFSEQ,4,4_NEKA01000001,37,33,28,28,28,23,6165510,6162481,6153443,6153443,6153443,5938022,37,587547,6165510,376160,187791,7,13,1.57
"Pseudomonas sp. R12(2017) R12_1, whole genome shotgun sequence",GCF_002112705.1_ASM211270v1_genomic.fna,NZ_NEIK01000001.1,sp.,REFSEQ,4,4_NEIK01000001,57,52,40,36,33,27,6215756,6212194,6185049,6156911,6111718,5855663,57,560952,6215756,299875,158221,8,16,12.81
"Pseudomonas syringae pv. actinidiae strain C10 BV320_1, whole genome shotgun sequence",GCF_002174905.1_ASM217490v1_genomic.fna,NZ_MTHJ01000001.1,syringae,REFSEQ,0,0_MTHJ01000001,325,286,181,141,84,36,6197012,6167495,5919912,5631905,4618648,2875102,325,234476,6197012,45191,24288,41,86,0.0
"Pseudomonas aeruginosa isolate 207, whole genome shotgun sequence",GCF_900145495.1_207_genomic.fna,NZ_FRLZ01000072.1,aeruginosa,REFSEQ,1,1_FRLZ01000072,73,60,49,48,43,33,6240207,6231846,6207720,6202394,6098794,5698863,71,632381,6239376,205489,111785,10,20,0.0
"Pseudomonas sp. DSM 108990 100_4184_356.622, whole genome shotgun sequence",GCF_007858355.1_ASM785835v1_genomic.fna,NZ_VFIP01000100.1,sp.,REFSEQ,4,4_VFIP01000100,145,131,94,82,63,38,5222451,5212152,5127514,5043445,4698313,3851758,145,253226,5222451,89053,43098,19,40,0.0
"Pseudomonas aeruginosa strain 133 scaffold_0, whole genome shotgun sequence",GCF_004350615.1_ASM435061v1_genomic.fna,NZ_SCXU01000001.1,aeruginosa,REFSEQ,1,1_SCXU01000001,704,641,387,223,46,6,6400884,6356024,5660535,4474922,1710628,431079,704,101340,6400884,15860,8554,121,258,24.93
"Pseudomonas mendocina strain NCTC10899, whole genome shotgun sequence",GCF_900455715.1_43941_B01_genomic.fna,NZ_UGUU01000002.1,mendocina,REFSEQ,31,31_UGUU01000002,2,2,2,2,2,2,5436419,5436419,5436419,5436419,5436419,5436419,2,5326171,5436419,5326171,5326171,1,1,0.0
"Pseudomonas aeruginosa strain Liverpool Epidemic Strain, whole genome shotgun sequence",GCF_000824545.1_LES_CF_sputum_CF03_contigs_22_a1_genomic.fna,NZ_CCOC01000001.1,aeruginosa,REFSEQ,1,1_CCOC01000001,61,48,36,30,28,23,6457055,6449563,6422264,6380659,6353660,6166213,56,787825,6455497,417552,206390,6,12,0.0
